Filename,Whisper,WER_Whisper,Wav2Vec,WER_Wav2Vec,Noise_Whisper,WER_Noise_Whisper,Noise_Wav2Vec,WER_Noise_Wav2Vec
afrikaans1.wav," Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big twig frog for the kids. She can scoop these things into free-read bags and we will go meet a wind state train station.",0.130434783,PLEASE CALL STELLA ASK HER TO BRING THESE THINGS WITH HER FROM THE STORE SIX SPOONS OF FRISH SNOW APIECE FIVE THICK SLAPS OF BLUE CHEESE AND MAYBE A SNACK FOR HER BROTHER ER BROTHER BOB WE ALSO NEED A SMALL PLASTIC SNAKE AND A BIG TOAY FROK FOR THE KIDS SHE CAN SCOOP THESE THINGS INTO THREE RED BAGS AND WE WILL GO MEET ER WINSTAY AT THE TRAIN STATION,0.130434783," Please call Stella, ask her to bring these things with her from the store. Six spoons of freshener, please. Five, six laps of blue cheese and maybe a snack for her brother, brother pup. We also need a small plastic snake and a big twig for the kids. She can scoop these things into free-rate bags and we will come meet a Wednesday at the train station.",0.188405797,PLEASE CALL STELLA ASK HER TO BRING THESE THINGS WIT HER FROM STOR SIX POONS OF TREE SNO PEESE FIVE THIC SLABS  BUE CHEESE AND MAYBY SNAP FOR HER BROTHER ER BROTHER BOB WE ALSO NEED A SMALL PLASTIC SNAKE AND A BIK TO A FROB FOR TEKITS SHE CAN SCOOP THESE THINGS INTO THREE RED BAGS AND WE WILL GO MEET A WIN STAY T E TRAN STATION,0.391304348
agni1.wav," Pstelah, asa, to bring this thing with her from the store. 6 spoon of fresh snow peas, 5 thick slab of blu-cheese, and maybe a snake for her brother Bob. We also need a small plastic snake and a big 12 frog for the kids. She can scoop this thing into three red bags. And we will go meet her Wednesday at the train station.",0.246376812,PLEASE CALL STERA ASK HER TO BRING THISE THING WITH HER FROM THE STORE SIX SPOON OF FRESH SNOW PEAS FIVE TIK SLAB OF BLUE CHEESE AND MAYBE A SNAKE FOR HER BROTHER BOB WE ALSO NEED A SMALL PLASTIC SNAKE AND A BIG TOIL FROG FOR THE KIDS SHE CAN SCOOP THI THING INTO THREE RED BAGS AND WE WILL GO MEET HER WEDNESDAY AT TETWIN STATION,0.173913043," Please, go stand. As her to bring beesveen before her from the store, 6 spoons of fresh, 6 spoons of fresh, 5th, 5th, 6th, 6th, 6th, 6th, 6th, 6th, 5th, 6th, 6th, 6th, 6th, 6th, 6th, 6th, 6th, 6th, 6th, 6th, and we will be good meet her Wednesday at the end of the week.",0.753623188,PLEASE COT ASK HER TO REIEFRF SIX SPOON FE FAL FIXLOOT AND MAY BE SE FOR E OREOWE ALSO E ELOROSTE SNKNI BE FI FR FOR TETI SHE CANO BIEITO FWS AND  EM ER WENS ATIN,0.84057971
akan1.wav," Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five six loves of blue cheese and maybe a snack for her brother-bought. We also need a small plus a snake and a big toy for the kids. She can scoop these things into three red bags and will go meet her Wednesday at the train station.",0.115942029,PLEASE CALL STELLA ASK HER TO BRING THESE THINGS WITH HER FROM THE STORE SIX SIX SPOONS OF FRESH SNOW PEAS FIVE THICK SLAVS OF BLUE CHEESE AND MAYBE A SNUG FOR HER BROTHER BOB WE ALSO NEED A SMALL PLUSSY SNAKE AND A BIG TOY FROG FOR THE KITS SHE CAN SCOOP THESE THINGS INTO THREE RED BAGS AND WE'LL GO MEET HER WEDNESDAY AT THE TRAIN STATION,0.101449275," Please call Stella, ask her to bring these things with her from the store. Six months of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother. You'll see need a small plus a snake and a big typhoon for the kids. She can scope these things into three red bags and will go me here with a little train station.",0.217391304,THIS COSTTEL AS ETO BI TINGS OR THEEO SIX SIX POONS OF FIS FI TILABS OIS ANEESIEOTEO AS I NEMO IN IIOOTISIASO THES THINGSIEEIS OEEEI AND TRANSDITION,0.956521739
albanian1.wav," Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh no peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will meet, we will go meet her Wednesday at the train station.",0.057971014,PLEASE CALL STELLA ASK HER TO BRING THESE THINGS WITH HER FROM THE STORE SIX SPOONS OF FRESH SNOW PEAS FIVE THICK SLABS OF BLUE CHEESE AND MAYBE A SNACK FOR HER BROTHER BOB WE ALSO NEED A SMALL PLASTIC SNAKE AND A BIG TOY FROG FOR THE KIDS SHE CAN SCOOP THESE THINGS INTO THREE RED BAGS AND WE WILL MEET WE WILL GO MEET HER WEDNESDAY AT THE TRAIN STATION,0.043478261," Please call Stella, ask her to bring these things with her from the store. Six bones of fresh new piece, five thick slabs of blue cheese, and maybe a snack for her brother-bub. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags, and we will meet her Wednesday at the train station.",0.086956522,PLEASE CLO TELLA AS TI ES TINS TO SIX PES FRESEBS FI TI LA EIETAO BIONE LOLAS TX TI AND HEI TR FRO EIGS SHE CAN POES TIXLE TE RED TAEEEOAI  TAA TRAN STATION,0.898550725
amazigh1.wav," Piz, kol stila, aske her to bring this tank with her from the store, six pumps of fresh snow peas, fives, tex, stables or blučis and maybe a snack for her brother bab. We also needed a small plastic snack and big toy frog for the kids. She can scoop this tank until three red bags and we will go meet her Wednesday at the transportation.",0.31884058,PLEASE CALL STELLA ASK HER TO BRING THIS TANK WITH HER FROM THE STORE SIX POMPS OF FRESH SNOW PIECS FIVE TAKE STABBLES OR BROOCHES AND MAYBE A SNUCK FOR HER BROTHER BAB WE ALSO NEEDED A SMALL PLASTIC SNACK AND BIG TOI FROG FOR THE DEKIDS SHE CAN SCOOP THIS TANK UNTIL UNTIL TRE READ BAG AND WE WILL GO MEET HER WEDNESDAY AT THE TRRANC STATION,0.347826087," Please call Stina as you can also bring this tank with a half-hand stop. Six pulls of fresh snow, peace, fires, takes, stubs or breaches and maybe a snack for our brother, but we also needed a small plastic snack and big toy for the kids. She can scope this tank hundreds and three red bags and we will go and meet her Wednesday at the translation.",0.47826087,IS GOTISCEAI ITEAOSIIE IAOTE AN ABEAOOOTOOE ASASI A TA OO FORTEISTEATAIAN AND E GOAETION,0.971014493
amharic1.wav," Plis kola stil. Azkartu bring these things with her from the store. Six spoons of fresh snow peas, five thick lips of blue cheese and maybe snack for her brother bowl. We also need a small plastic snack and a big toy. For the kids, she can't scope these things into three-erred bag and we will go meet her when she adds a train station.",0.289855072,PLEASE CALL STILL ASK HER TO BRING THESE THINGS WITH HER FROM THE STORE SIX SPOON OF FRESH SNOW PEAS FIVE THICK SLEPS OF BLUE CHEESE AND MAYBE SNUG FOR HER PRASERBO WE ALSO NEED A SMALL PLASTIC SNUG AND BIG TOY FROG FOR THE KID SHE CAN SCOP THESE THINGS INTO THREE RG BAG AND WE WILL GO MEET HER WHENSTE AT THE TRAIN STATION,0.202898551," Please call Steve. Ask Arch to bring these things with her for the snow. Six-spot of fresh, snow-peas, five-ticks lips of luchis and maybe snuck from her brother Bob. We also need a small plastic snuck and a big toy. From for the cape, she can't scope these things into three-bird, but we will go meet her when she's at the train station.",0.405797101,LTASCARITNTS SIXSOF WISNOTIS FIVEHI OFOIS AND EENOOER BA WE ALSO NEED A SMALLAST ANB FOORATE SHE CANO THIS THINGIN THREE R BUT AND WE WIL O M HER WEN STA A TRA STATION,0.84057971
arabic1.wav," Re driverrutelb … Skaul stila, a sker, to bring these things with her from the store. Six spoon of fresh snow bees, five six slip of blue cheese, and maybe a snake for her brother, ba. We also need a small plastic snake and a big toy frog for the kids. She can't scoop these things into three red bags. And we will go meet her one is day at the train station.",0.231884058,PLEASE CALL STILLA ASK HER TO BRING THESE THINGS WITH HER FROM THE STORE SIX SPOON OF FRESH SNOW BES FIVE THICK SLIPS OF BLUE CHEESE AND MAYBE A SNAKE FOR HER BROTHER BAB WE ALSO NEED A SMALL BLAK STICK SNAKE AND A BIG TOY FROG FOR THE KIDS SHE CAN SCOOP THESE THINGS INTO THREE RED BAGS AND WE WILL GO MEET HER WEDNESDAY AT THE TRAIN STATION,0.115942029," Please call still, ask here to bring these things with hair from the store. Six spoon of fresh snow, five thick slip of blue cheese, and maybe a snake for hair for a little bit. We also need a small plastic snake and a big toy for the kids. She can't scoop these things into three red bags and we will go meet here, one is at the train station.",0.246376812,LES OI A I II TIIR ROM THETO SIX ONO I N BI  FI TIK LI RTES AND B LERROBO WE I A SMALL LET SN ND A  O RO FOR THEGIS SHEKL TIS TI ERI AND WE WI O M E WENI A REN STATION,0.855072464
armenian1.wav," Please call Stella, ask her to bring this thing with her from the store. Six points of fresh no pins, five thick slabs, of blue cheese and maybe a snack for her brother, bro. We also need a small plastic snack and big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",0.115942029,PLEASE CALL SELLA ASK HER TO BRING THISE THING WITH HER FROM THE STORE SIX PONS OF FRESH SNOW PENS FIVE THICK SLAPS OF BLUE CHEESE AND MAYBE A SNAKE FOR HER BROTHER BOB WE ALSO NEED A SMALL PLASTIC SNAKE AND BIG TOY FROCK FOR THE KIDS SHE CAN SCOOP THESE THINGS INTO THREE RED BAGS AND WE WILL GO MEET HER WEDNESDAY AT THE TRAIN STATION,0.130434783," Please call Sella, ask her to bring the standard with her full list of six clothes of fresh no pins, five feet slabs and blue cheese and maybe snack for her brother. We also need a small plastic snack and big 12 foot for the kids. She can scoop these things into three red bags and we will go meet her last day at the train station.",0.275362319,PLEASE CO SE ASKER TO BRING TES TIN  ER FOR TE TON SIX OO FRESHNPENS FIVEE SLAP OF BLUE CHEES AND BABE NAK FO HER BROTHER WELSOE O BLESSE SNAKE AND BEEK TO OFOREKIS SHE KIS EPES TIN TETO TREN RED BEGS AGOEER ESTE IT TE TRATAS,0.811594203
ashanti1.wav," Please constella, accept ring these tents with hair from the stone. Suspense of fresh snow peas, five thick slabs of glutes and maybe a snack for her brother both. We also need a small plastic snake and a big toy frog for the kids. She can scoop these tents into three red bags and we will go meet her Wednesday at the train station.",0.217391304,PLEASE CALL STELLA AXER TO BRING THESE TURNS WITH HER FROM THE STORE SIX SPOONS OF FRESH SNOW PEAS FIVE THICK SLABS OF BLUE CHEESE AND MAYBE A SNAK FOR HER BROTHER BOB WE ALSO NEED A SMALL PLASTIC SNAKE AND A BIG TOY FROG FOR THE KIDS SHE CAN SCOOP THESE TERNS INTO THREE RED BAGS AND WE WILL GO MEET HER WEDNESDAY AT THE TRAIN STATION,0.072463768," Please constella and sit, bring these tents with you from the store, since once were fresh, no bees, five thick slabs of clutches and maybe it's not for him, brother Bob. We also need a small plastic snake and a big toy for the kids. She can scoop these tents into three red beds and we will go to the middle of Wednesday at the train station.",0.362318841,PLEASE CALL STEL AI RIBISE WITI FROM TETOLA WROES RI LSE ILA E BROTHE BOIOIE O LATELN I WO FRO FOR THETES SHECO SWILTEN IRIRI BINIIIAAERTATIO,0.942028986
azerbaijani1.wav," Please call Stella, ask her to bring her things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",0.014492754,PLEASE CALL STELLA ASK HER TO BRING HER THINGS WITH HER FROM THE STORE SIX SPOONS OF FRESH SNOW PEASE FIVE THICK SLABS OF BLUE CHEESE AND MAYBE A SNACK FOR HER BROTHER BOB WE ALSO NEED A SMALL PLASTIC SNAKE AND A BIG TOY FROG FOR THE KIDS SHE CAN SCOOP THESE THINGS INTO THREE RED BAGS AND WE WILL MEET HER WEDNESDAY AT THE TRAIN STATION,0.043478261," Please call Stella, ask her to bring her things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother-bob. We also need a small plastic snake and a big toy frog for the kids. She can scope these things into three red bags and will go meet her Wednesday at the train station.",0.072463768,PLEASE CALL STELLA ASK HER TO BRING HER THINGS WITH HER FROM THE STORE SIX SPOONS OF FRESH SNOW PEESE FIVE THICK SLABS OF BLUE CHEESE AND MAYBE A SNAG FOR HER BROTHER BOB WE ALSO NEAD A SMALL PLASTIC SNAKE AND BEG TOY FRO FOR THE KIDS SHE CAN SCOOP THESE THINGS INTO THREE RED BAGS AND LEWLLE GO MEET HER WEDNESDAY AT THE TRAIN STATION,0.130434783
